name,age_group,sex,year,population,total_inactive_population,total_unemployed_population,total_employed_population,Less than basic_inactive,Basic_inactive,Intermediate_inactive,Advanced_inactive,Level not stated_inactive,Less than basic_unemployment,Basic_unemployment,Intermediate_unemployment,Advanced_unemployment,Level not stated_unemployment
Rwanda,15-24,female,2017,1191260.0,696517.8094,88895.27680700799,405846.913792992,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2018,1226540.0,781195.5914,82027.98662003399,363316.421979966,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2019,1261820.0,801293.5545999999,83042.12863452802,377484.31676547206,49.65,57.11,71.72,73.97,27727426.40275987,14195.62218703989,679622.720300187,92104.63674086184,15370.575371911136,3118.6836671932433
Rwanda,15-24,female,2020,1297100.0,765613.275,101168.49810375,430318.2268962499,38012699.10375,43724174.13525,54909784.083,56632413.95175,27727426.40275987,13597.393496323606,628694.9042886731,105004.50657345702,18318.02143916223,3118.6836671932433
Rwanda,15-24,female,2021,1335160.0,814527.7096,99664.63935127202,420967.651048728,40441300.78163999,46517677.495256,58417927.332512,60250614.679112,27727426.40275987,10942.735062527468,701459.9778943344,91031.11883112826,11096.036994145355,3118.6836671932433
Rwanda,15-24,female,2022,1373220.0,849295.3734,97963.426681668,425961.1999183319,42167515.28931,48503258.774874,60911464.180248,62822378.770398,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2023,1411280.0,882346.3687999999,96620.30641130402,432313.324788696,43808497.21092,50390801.122168,63281881.57033599,65267160.900136,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,female,2024,1449340.0,914026.271,95692.68219604,439621.04680396,45381404.35515,52200040.33681,65553964.15612,67610523.26586999,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2015,1091100.0,587895.591,77835.65798412,425368.75101588,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2016,1128820.0,614721.5074,79628.715518814,434469.777081186,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2017,1166540.0,640045.5018,81532.93799125201,444961.560208748,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2018,1204260.0,703203.5418000001,85825.960725078,415230.49747492187,22461812.072204314,11069696.858550452,12401165.250921946,9063538.20457367,27727426.40275987,44474.92411368337,459236.41838842526,90382.69532489986,24247.65799719319,3118.6836671932433
Rwanda,15-24,male,2019,1241980.0,729737.7688,84673.64081736,427568.59038264,46.62,50.91,73.56,75.05,27727426.40275987,12742.030614053732,644879.1959766876,58951.63894489504,13163.307518513368,3118.6836671932433
